n,S,comparisons,average_cpu_seconds
100000,1,1536151,0.4114583333333333
100000,2,1536151,0.390625
100000,4,1536614,0.3541666666666667
100000,8,1557662,0.3125
100000,16,1638835,0.296875
100000,32,1861767,0.3333333333333333
100000,64,2381532,0.3645833333333333
100000,128,3508170,0.484375
1000000,1,18670870,4.947916666666667
1000000,2,18670870,4.25
1000000,4,18724201,3.9270833333333335
1000000,8,19065973,3.8958333333333335
1000000,16,20211915,3.8072916666666665
1000000,32,23170391,3.9635416666666665
1000000,64,29861305,4.765625
1000000,128,44116915,6.322916666666667
