n,S,trial,comparisons,cpu_seconds
100000,1,1,1536151,0.40625
100000,1,2,1536151,0.421875
100000,1,3,1536151,0.40625
100000,2,1,1536151,0.375
100000,2,2,1536151,0.421875
100000,2,3,1536151,0.375
100000,4,1,1536614,0.375
100000,4,2,1536614,0.34375
100000,4,3,1536614,0.34375
100000,8,1,1557662,0.3125
100000,8,2,1557662,0.3125
100000,8,3,1557662,0.3125
100000,16,1,1638835,0.3125
100000,16,2,1638835,0.296875
100000,16,3,1638835,0.28125
100000,32,1,1861767,0.375
100000,32,2,1861767,0.3125
100000,32,3,1861767,0.3125
100000,64,1,2381532,0.375
100000,64,2,2381532,0.359375
100000,64,3,2381532,0.359375
100000,128,1,3508170,0.46875
100000,128,2,3508170,0.5
100000,128,3,3508170,0.484375
1000000,1,1,18670870,4.765625
1000000,1,2,18670870,5.21875
1000000,1,3,18670870,4.859375
1000000,2,1,18670870,4.203125
1000000,2,2,18670870,4.359375
1000000,2,3,18670870,4.1875
1000000,4,1,18724201,4.0
1000000,4,2,18724201,3.875
1000000,4,3,18724201,3.90625
1000000,8,1,19065973,3.953125
1000000,8,2,19065973,3.84375
1000000,8,3,19065973,3.890625
1000000,16,1,20211915,3.859375
1000000,16,2,20211915,3.75
1000000,16,3,20211915,3.8125
1000000,32,1,23170391,4.046875
1000000,32,2,23170391,3.90625
1000000,32,3,23170391,3.9375
1000000,64,1,29861305,4.75
1000000,64,2,29861305,4.796875
1000000,64,3,29861305,4.75
1000000,128,1,44116915,6.203125
1000000,128,2,44116915,6.453125
1000000,128,3,44116915,6.3125
